code	mod_code	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
RIOK3:bf78ba7e	19229	0.0	0.0	0.0	1.0	4.0	1.0
RIOK3:bf78ba7e	69426	0.0	0.0	0.0	2.0	2.0	0.0
RIOK3:bf78ba7e	a	0.0	0.0	0.0	7.0	10.0	10.0
RIOK3:bf78ba7e	m	0.0	0.0	0.0	0.0	1.0	0.0
RIOK3:ce771cda	17596	0.0	0.0	0.0	3.0	12.0	5.0
RIOK3:ce771cda	17802	0.0	0.0	0.0	7.0	8.0	8.0
RIOK3:ce771cda	19227	0.0	0.0	0.0	8.0	7.0	6.0
RIOK3:ce771cda	19228	0.0	0.0	0.0	2.0	1.0	3.0
RIOK3:ce771cda	19229	0.0	0.0	1.0	6.0	4.0	10.0
RIOK3:ce771cda	69426	0.0	0.0	0.0	1.0	2.0	0.0
RIOK3:ce771cda	a	0.0	0.0	0.0	24.0	26.0	18.0
RIOK3:ce771cda	m	0.0	0.0	1.0	4.0	4.0	4.0
RIOK3:df5e74d9	17596	0.0	0.0	0.0	1.0	6.0	4.0
RIOK3:df5e74d9	17802	0.0	0.0	0.0	2.0	2.0	1.0
RIOK3:df5e74d9	19227	0.0	0.0	0.0	6.0	3.0	0.0
RIOK3:df5e74d9	19228	0.0	0.0	0.0	2.0	0.0	0.0
RIOK3:df5e74d9	19229	0.0	0.0	0.0	0.0	4.0	3.0
RIOK3:df5e74d9	69426	0.0	0.0	0.0	1.0	0.0	0.0
RIOK3:df5e74d9	a	0.0	2.0	0.0	10.0	8.0	7.0
RIOK3:df5e74d9	m	0.0	0.0	0.0	0.0	0.0	0.0
RIOK3:e56bb27e	17596	0.0	0.0	0.0	0.0	1.0	14.0
RIOK3:e56bb27e	17802	0.0	4.0	0.0	2.0	1.0	4.0
RIOK3:e56bb27e	19227	0.0	0.0	0.0	1.0	0.0	4.0
RIOK3:e56bb27e	19228	0.0	0.0	0.0	0.0	0.0	1.0
RIOK3:e56bb27e	19229	0.0	1.0	1.0	1.0	0.0	2.0
RIOK3:e56bb27e	69426	0.0	0.0	0.0	0.0	0.0	1.0
RIOK3:e56bb27e	a	0.0	0.0	0.0	6.0	1.0	5.0
RIOK3:e56bb27e	m	0.0	0.0	0.0	0.0	1.0	0.0
